checkpoint,run,score,player
checkpoint-2006,4,70,NN
checkpoint-2006,5,39,DEFENSIVE
checkpoint-2006,5,50,GREEDY
checkpoint-2006,5,121,NN
checkpoint-2006,5,36,AGGRESSIVE
checkpoint-2006,6,38,DEFENSIVE
checkpoint-2006,6,41,AGGRESSIVE
checkpoint-2006,6,55,NN
checkpoint-2006,6,39,GREEDY
checkpoint-2006,7,36,AGGRESSIVE
checkpoint-2006,7,44,NN
checkpoint-2006,7,48,GREEDY
checkpoint-2006,7,44,DEFENSIVE
checkpoint-2006,8,40,NN
checkpoint-2006,8,39,AGGRESSIVE
checkpoint-2006,8,43,GREEDY
checkpoint-2006,8,36,DEFENSIVE
checkpoint-2006,9,39,NN
checkpoint-2006,9,38,AGGRESSIVE
checkpoint-2006,9,39,GREEDY
checkpoint-2006,9,36,DEFENSIVE
checkpoint-2006,10,36,GREEDY
checkpoint-2006,10,44,AGGRESSIVE
checkpoint-2006,10,42,DEFENSIVE
checkpoint-2006,10,36,NN
checkpoint-2006,11,36,AGGRESSIVE
checkpoint-2006,11,37,GREEDY
checkpoint-2006,11,45,NN
checkpoint-2006,11,48,DEFENSIVE
checkpoint-2006,12,39,AGGRESSIVE
checkpoint-2006,12,36,DEFENSIVE
checkpoint-2006,12,37,GREEDY
checkpoint-2006,12,50,NN
checkpoint-2006,13,36,AGGRESSIVE
checkpoint-2006,13,40,DEFENSIVE
checkpoint-2006,13,36,NN
checkpoint-2006,13,44,GREEDY
checkpoint-2006,14,42,NN
checkpoint-2006,14,36,AGGRESSIVE
checkpoint-2006,14,51,GREEDY
checkpoint-2006,14,44,DEFENSIVE
checkpoint-2006,15,39,AGGRESSIVE
checkpoint-2006,15,38,DEFENSIVE
checkpoint-2006,15,36,NN
checkpoint-2006,15,36,GREEDY
checkpoint-2006,16,52,NN
checkpoint-2006,16,36,DEFENSIVE
checkpoint-2006,16,46,GREEDY
checkpoint-2006,16,66,AGGRESSIVE
checkpoint-2006,17,39,AGGRESSIVE
checkpoint-2006,17,36,NN
checkpoint-2006,17,37,DEFENSIVE
checkpoint-2006,17,42,GREEDY
checkpoint-2006,18,36,NN
checkpoint-2006,18,36,DEFENSIVE
checkpoint-2006,18,37,GREEDY
checkpoint-2006,18,36,AGGRESSIVE
checkpoint-2006,19,47,NN
checkpoint-2006,19,36,AGGRESSIVE
checkpoint-2006,19,37,GREEDY
checkpoint-2006,19,36,DEFENSIVE
checkpoint-2006,20,36,DEFENSIVE
checkpoint-2006,20,39,AGGRESSIVE
checkpoint-2006,20,70,NN
checkpoint-2006,20,38,GREEDY
checkpoint-2006,21,36,NN
checkpoint-2006,21,36,GREEDY
checkpoint-2006,21,36,DEFENSIVE
checkpoint-2006,21,44,AGGRESSIVE
checkpoint-2006,22,37,AGGRESSIVE
checkpoint-2006,22,58,NN
checkpoint-2006,22,48,DEFENSIVE
checkpoint-2006,22,36,GREEDY
checkpoint-2006,23,36,AGGRESSIVE
checkpoint-2006,23,40,GREEDY
checkpoint-2006,23,44,NN
checkpoint-2006,23,44,DEFENSIVE
checkpoint-2006,24,36,AGGRESSIVE
checkpoint-2006,24,39,NN
checkpoint-2006,24,44,DEFENSIVE
checkpoint-2006,24,40,GREEDY
checkpoint-2006,25,42,AGGRESSIVE
checkpoint-2006,25,37,GREEDY
checkpoint-2006,25,42,DEFENSIVE
checkpoint-2006,25,50,NN
checkpoint-2006,26,36,AGGRESSIVE
checkpoint-2006,26,43,NN
checkpoint-2006,26,37,DEFENSIVE
checkpoint-2006,26,37,GREEDY
checkpoint-2006,27,36,AGGRESSIVE
checkpoint-2006,27,44,DEFENSIVE
checkpoint-2006,27,54,NN
checkpoint-2006,27,46,GREEDY
checkpoint-2006,28,42,NN
checkpoint-2006,28,37,AGGRESSIVE
checkpoint-2006,28,38,GREEDY
checkpoint-2006,28,41,DEFENSIVE
checkpoint-2006,29,36,NN
checkpoint-2006,29,36,AGGRESSIVE
checkpoint-2006,29,36,DEFENSIVE
checkpoint-2006,29,39,GREEDY
checkpoint-2006,30,37,GREEDY
checkpoint-2006,30,38,NN
checkpoint-2006,30,38,AGGRESSIVE
checkpoint-2006,30,39,DEFENSIVE
checkpoint-2006,31,36,NN
checkpoint-2006,31,37,GREEDY
checkpoint-2006,31,48,AGGRESSIVE
checkpoint-2006,31,38,DEFENSIVE
checkpoint-2006,32,42,AGGRESSIVE
checkpoint-2006,32,37,GREEDY
checkpoint-2006,32,37,DEFENSIVE
checkpoint-2006,32,38,NN
checkpoint-2006,33,36,DEFENSIVE
checkpoint-2006,33,38,GREEDY
checkpoint-2006,33,46,AGGRESSIVE
checkpoint-2006,33,48,NN
checkpoint-2006,34,37,AGGRESSIVE
checkpoint-2006,34,36,NN
checkpoint-2006,34,38,DEFENSIVE
checkpoint-2006,34,0,GREEDY
checkpoint-2006,35,36,NN
checkpoint-2006,35,36,DEFENSIVE
checkpoint-2006,35,44,AGGRESSIVE
checkpoint-2006,35,38,GREEDY
checkpoint-2006,36,37,NN
checkpoint-2006,36,36,AGGRESSIVE
checkpoint-2006,36,0,GREEDY
checkpoint-2501,0,37,AGGRESSIVE
checkpoint-2501,0,37,NN
checkpoint-2501,0,46,GREEDY
checkpoint-2501,0,46,DEFENSIVE
checkpoint-2501,1,36,NN
checkpoint-2501,1,40,GREEDY
checkpoint-2501,1,37,DEFENSIVE
checkpoint-2501,1,49,AGGRESSIVE
checkpoint-2501,2,36,DEFENSIVE
checkpoint-2501,2,53,NN
checkpoint-2501,2,39,AGGRESSIVE
checkpoint-2501,2,50,GREEDY
checkpoint-2501,3,36,AGGRESSIVE
checkpoint-2501,3,36,DEFENSIVE
checkpoint-2501,3,38,GREEDY
checkpoint-2501,3,54,NN
checkpoint-2501,4,38,GREEDY
checkpoint-2501,4,42,AGGRESSIVE
checkpoint-2501,4,46,NN
checkpoint-2501,4,38,DEFENSIVE
checkpoint-2501,5,40,AGGRESSIVE
checkpoint-2501,5,36,DEFENSIVE
checkpoint-2501,5,40,GREEDY
checkpoint-2501,5,60,NN
checkpoint-2501,6,36,AGGRESSIVE
checkpoint-2501,6,52,NN
checkpoint-2501,6,42,GREEDY
checkpoint-2501,6,39,DEFENSIVE
checkpoint-2501,7,38,NN
checkpoint-2501,7,36,AGGRESSIVE
checkpoint-2501,7,41,GREEDY
checkpoint-2501,7,41,DEFENSIVE
checkpoint-2501,8,46,AGGRESSIVE
checkpoint-2501,8,44,NN
checkpoint-2501,8,37,GREEDY
checkpoint-2501,8,67,DEFENSIVE
checkpoint-2501,9,39,AGGRESSIVE
checkpoint-2501,9,40,GREEDY
checkpoint-2501,9,61,NN
checkpoint-2501,9,37,DEFENSIVE
checkpoint-2501,10,38,DEFENSIVE
checkpoint-2501,10,41,AGGRESSIVE
checkpoint-2501,10,36,GREEDY
checkpoint-2501,10,37,NN
checkpoint-2501,11,36,NN
checkpoint-2501,11,36,GREEDY
checkpoint-2501,11,38,DEFENSIVE
checkpoint-2501,12,37,GREEDY
checkpoint-2501,12,48,AGGRESSIVE
checkpoint-2501,12,45,NN
checkpoint-2501,12,37,DEFENSIVE
checkpoint-2501,13,36,AGGRESSIVE
checkpoint-2501,13,44,GREEDY
checkpoint-2501,13,36,DEFENSIVE
checkpoint-2501,13,45,NN
checkpoint-2501,14,36,AGGRESSIVE
checkpoint-2501,14,37,GREEDY
checkpoint-2501,14,46,NN
checkpoint-2501,14,37,DEFENSIVE
checkpoint-2501,15,37,NN
checkpoint-2501,15,42,AGGRESSIVE
checkpoint-2501,15,36,DEFENSIVE
checkpoint-2501,15,38,GREEDY
checkpoint-2501,16,43,NN
checkpoint-2501,16,39,GREEDY
checkpoint-2501,16,39,DEFENSIVE
checkpoint-2501,16,38,AGGRESSIVE
checkpoint-2501,17,37,AGGRESSIVE
checkpoint-2501,17,36,GREEDY
checkpoint-2501,17,39,DEFENSIVE
checkpoint-2501,17,55,NN
checkpoint-2501,18,40,NN
checkpoint-2501,18,38,AGGRESSIVE
checkpoint-2501,18,36,GREEDY
checkpoint-2501,18,38,DEFENSIVE
checkpoint-2501,19,37,NN
checkpoint-2501,19,36,GREEDY
checkpoint-2501,19,38,DEFENSIVE
checkpoint-2501,19,38,AGGRESSIVE
checkpoint-2501,20,37,NN
checkpoint-2501,20,39,AGGRESSIVE
checkpoint-2501,20,38,GREEDY
checkpoint-2501,20,38,DEFENSIVE
checkpoint-2501,21,36,NN
checkpoint-2501,21,38,AGGRESSIVE
checkpoint-2501,21,38,GREEDY
checkpoint-2501,21,39,DEFENSIVE
checkpoint-2501,22,36,AGGRESSIVE
checkpoint-2501,22,37,GREEDY
checkpoint-2501,22,40,DEFENSIVE
checkpoint-2501,22,36,NN
checkpoint-2501,23,38,NN
checkpoint-2501,23,36,AGGRESSIVE
checkpoint-2501,23,38,DEFENSIVE
checkpoint-2501,23,36,GREEDY
checkpoint-2501,24,36,GREEDY
checkpoint-2501,24,42,NN
checkpoint-2501,24,41,AGGRESSIVE
checkpoint-2501,24,42,DEFENSIVE
checkpoint-2501,25,37,AGGRESSIVE
checkpoint-2501,25,38,DEFENSIVE
